UniqID,Island,Country.Territory,Region,Subregion,Lon,Lat,SiteName,Material,Type,Provenience,LabNo,Age,Error,d13C,Reference,calCurves,MapNo,CalibLon,CalibLat,DeltaR,DeltaErr,CalibReference,CalibLocality
35,Anguilla,Anguilla,Lesser Antilles,northern Lesser Antilles,-63.05741433,18.22452258,Rendezvous Bay (AL02-RZ),charred material,charcoal/charred material,N181 E750-N183 E750-130 cmbs-level 54A,Beta-277835,1020,50,-24.5,John Crock personal communication,intcal20,2098,-63.5167,18.5,0,0,DiNapoli et al 2020,"Sombrero (off IsleSaint Barthelemy), Ane"
36,Anguilla,Anguilla,Lesser Antilles,northern Lesser Antilles,-63.05741433,18.22452258,Rendezvous Bay (AL02-RZ),charcoal,charcoal/charred material,Feature 3-130-140 cmbs,PITT-0546,1180,45,�,Watters and Petersen 1991; Crock and Petersen 2001,intcal20,2098,-63.5167,18.5,0,0,DiNapoli et al 2020,"Sombrero (off IsleSaint Barthelemy), Ane"
37,Anguilla,Anguilla,Lesser Antilles,northern Lesser Antilles,-63.05741433,18.22452258,Rendezvous Bay (AL02-RZ),charcoal,charcoal/charred material,Feature 4-120-130 cmbs,PITT-0547,1085,55,�,Watters 1991; Crock and Petersen 2001,intcal20,2098,-63.5167,18.5,0,0,DiNapoli et al 2020,"Sombrero (off IsleSaint Barthelemy), Ane"
38,Anguilla,Anguilla,Lesser Antilles,northern Lesser Antilles,-63.05741433,18.22452258,Sandy Ground (AL03-SG),charcoal,charcoal/charred material,N479 E267-40-50,Beta-110397,1310,80,�,Petersen and Crock 2001:132,intcal20,2098,-63.5167,18.5,0,0,DiNapoli et al 2020,"Sombrero (off IsleSaint Barthelemy), Ane"
39,Anguilla,Anguilla,Lesser Antilles,northern Lesser Antilles,-63.05741433,18.22452258,Sandy Ground (AL03-SG),charcoal,charcoal/charred material,N482 E280-30-40,Beta-110393,1140,60,�,Petersen and Crock 2001:132,intcal20,2098,-63.5167,18.5,0,0,DiNapoli et al 2020,"Sombrero (off IsleSaint Barthelemy), Ane"
40,Anguilla,Anguilla,Lesser Antilles,northern Lesser Antilles,-63.05741433,18.22452258,Sandy Ground (AL03-SG),charcoal,charcoal/charred material,N482 E280-50-60,Beta-110394,1230,70,�,Petersen and Crock 2001:132,intcal20,2098,-63.5167,18.5,0,0,DiNapoli et al 2020,"Sombrero (off IsleSaint Barthelemy), Ane"
41,Anguilla,Anguilla,Lesser Antilles,northern Lesser Antilles,-63.05741433,18.22452258,Sandy Ground (AL03-SG),charcoal,charcoal/charred material,N482 E280-70-80,Beta-110395,1170,80,�,Petersen and Crock 2001:132,intcal20,2098,-63.5167,18.5,0,0,DiNapoli et al 2020,"Sombrero (off IsleSaint Barthelemy), Ane"
42,Anguilla,Anguilla,Lesser Antilles,northern Lesser Antilles,-63.05741433,18.22452258,Sandy Ground (AL03-SG),charcoal,charcoal/charred material,N482 E280-90�100,Beta-110396,1290,60,�,Petersen and Crock 2001:132,intcal20,2098,-63.5167,18.5,0,0,DiNapoli et al 2020,"Sombrero (off IsleSaint Barthelemy), Ane"
43,Anguilla,Anguilla,Lesser Antilles,northern Lesser Antilles,-63.05741433,18.22452258,Sandy Ground (AL03-SG),charcoal,charcoal/charred material,N482 E285-40-50,Beta-110398,780,80,�,Petersen and Crock 2001:132,intcal20,2098,-63.5167,18.5,0,0,DiNapoli et al 2020,"Sombrero (off IsleSaint Barthelemy), Ane"
44,Anguilla,Anguilla,Lesser Antilles,northern Lesser Antilles,-63.05741433,18.22452258,Sandy Hill Bay (AL08-SH),charcoal,charcoal/charred material,area disturbed for cistern 35.6 cmbs,Beta-21863,940,80,�,Douglas 1991 cited in Crock and Petersen 2001,intcal20,2098,-63.5167,18.5,0,0,DiNapoli et al 2020,"Sombrero (off IsleSaint Barthelemy), Ane"
45,Anguilla,Anguilla,Lesser Antilles,northern Lesser Antilles,-63.05741433,18.22452258,Sandy Hill Bay (AL08-SH),charcoal,charcoal/charred material,area disturbed for cistern 50.8 cmbs,Beta-21862,880,90,�,Douglas 1991 cited in Crock and Petersen 2001,intcal20,2098,-63.5167,18.5,0,0,DiNapoli et al 2020,"Sombrero (off IsleSaint Barthelemy), Ane"
46,Anguilla,Anguilla,Lesser Antilles,northern Lesser Antilles,-63.05741433,18.22452258,Sandy Hill Bay (AL08-SH),charcoal,charcoal/charred material,N490 E285-10-35,Beta-120152,950,70,�,Crock 2001:101; Petersen and Crock 2001:132,intcal20,2098,-63.5167,18.5,0,0,DiNapoli et al 2020,"Sombrero (off IsleSaint Barthelemy), Ane"
47,Anguilla,Anguilla,Lesser Antilles,northern Lesser Antilles,-63.05741433,18.22452258,Sandy Hill Bay (AL08-SH),charcoal,charcoal/charred material,N490 E286-30-55,Beta-120153,740,60,�,Crock 2001:101; Petersen and Crock 2001:132,intcal20,2098,-63.5167,18.5,0,0,DiNapoli et al 2020,"Sombrero (off IsleSaint Barthelemy), Ane"
48,Anguilla,Anguilla,Lesser Antilles,northern Lesser Antilles,-63.05741433,18.22452258,Sandy Hill Bay (AL08-SH),charcoal,charcoal/charred material,N490 E286-50-75,Beta-120154,850,60,�,Crock 2001:102; Petersen and Crock 2001:132,intcal20,2098,-63.5167,18.5,0,0,DiNapoli et al 2020,"Sombrero (off IsleSaint Barthelemy), Ane"
49,Anguilla,Anguilla,Lesser Antilles,northern Lesser Antilles,-63.05741433,18.22452258,Sandy Hill Bay (AL08-SH),charcoal,charcoal/charred material,N575 E205-20-35,Beta-106440,510,80,�,Crock 2001:102; Petersen and Crock 2001:132,intcal20,2098,-63.5167,18.5,0,0,DiNapoli et al 2020,"Sombrero (off IsleSaint Barthelemy), Ane"
50,Anguilla,Anguilla,Lesser Antilles,northern Lesser Antilles,-63.05741433,18.22452258,Shoal Bay East (AL19-SE),charcoal,charcoal/charred material,N375 E475-60-65,Beta-106439,1270,60,�,Crock 2001:169; Petersen and Crock 2001:132,intcal20,2098,-63.5167,18.5,0,0,DiNapoli et al 2020,"Sombrero (off IsleSaint Barthelemy), Ane"
51,Anguilla,Anguilla,Lesser Antilles,northern Lesser Antilles,-63.05741433,18.22452258,Shoal Bay East (AL19-SE),charcoal,charcoal/charred material,N558 E467-140�150,Beta-120157,880,80,�,Crock 2001:168; Petersen and Crock 2001:132,intcal20,2098,-63.5167,18.5,0,0,DiNapoli et al 2020,"Sombrero (off IsleSaint Barthelemy), Ane"
52,Anguilla,Anguilla,Lesser Antilles,northern Lesser Antilles,-63.05741433,18.22452258,Shoal Bay East (AL19-SE),charcoal,charcoal/charred material,N558 E467-60-70,Beta-120155,440,70,�,Crock 2001:165; Petersen and Crock 2001:132,intcal20,2098,-63.5167,18.5,0,0,DiNapoli et al 2020,"Sombrero (off IsleSaint Barthelemy), Ane"
53,Anguilla,Anguilla,Lesser Antilles,northern Lesser Antilles,-63.05741433,18.22452258,Shoal Bay East (AL19-SE),charcoal,charcoal/charred material,N558 E467-90�100,Beta-120156,710,80,�,Crock 2001:168; Petersen and Crock 2001:132,intcal20,2098,-63.5167,18.5,0,0,DiNapoli et al 2020,"Sombrero (off IsleSaint Barthelemy), Ane"
55,Anguilla,Anguilla,Lesser Antilles,northern Lesser Antilles,-63.05741433,18.22452258,Forest North (AL20�FN),charcoal,charcoal/charred material,N236 E252-level 8B,Beta-141201,1140,40,�,Crock 2001:195,intcal20,2098,-63.5167,18.5,0,0,DiNapoli et al 2020,"Sombrero (off IsleSaint Barthelemy), Ane"
56,Anguilla,Anguilla,Lesser Antilles,northern Lesser Antilles,-63.05741433,18.22452258,Whitehead's Bluff (AL33-WB),charcoal,charcoal/charred material,surface,Beta-21864,160,70,�,Crock et al. 1995,intcal20,2098,-63.5167,18.5,0,0,DiNapoli et al 2020,"Sombrero (off IsleSaint Barthelemy), Ane"
65,Antigua,Antigua and Barbuda,Lesser Antilles,northern Lesser Antilles,-61.7896002,17.07479419,Crosby Lagoon,organic sediment,sediment,CL09-1-132-133 cm,AA-86581,680,35,-24.4,Jones et al. 2018a,intcal20,2120,-62.5815,17.1573,0,0,DiNapoli et al 2020,-
68,Antigua,Antigua and Barbuda,Lesser Antilles,northern Lesser Antilles,-61.7896002,17.07479419,Freeman's Bay,�,unknown,�,I-7839,935,80,�,Davis 1988,intcal20,2120,-62.5815,17.1573,0,0,DiNapoli et al 2020,-
69,Antigua,Antigua and Barbuda,Lesser Antilles,northern Lesser Antilles,-61.7896002,17.07479419,Freeman's Bay,�,unknown,�,I-7840,1065,80,�,Davis 1988,intcal20,2120,-62.5815,17.1573,0,0,DiNapoli et al 2020,-
70,Antigua,Antigua and Barbuda,Lesser Antilles,northern Lesser Antilles,-61.7896002,17.07479419,Freeman's Bay,�,unknown,�,I-7856,480,80,�,Davis 1988 unknown sample material; insufficient,intcal20,2120,-62.5815,17.1573,0,0,DiNapoli et al 2020,-
72,Antigua,Antigua and Barbuda,Lesser Antilles,northern Lesser Antilles,-61.7896002,17.07479419,Indian Creek,�,unknown,2 (C1-2),I-7844,1000,90,�,Rouse and Morse 1999:46,intcal20,2120,-62.5815,17.1573,0,0,DiNapoli et al 2020,-
73,Antigua,Antigua and Barbuda,Lesser Antilles,northern Lesser Antilles,-61.7896002,17.07479419,Indian Creek,�,unknown,2 (C3-2),I-7982,1070,80,�,Rouse and Morse 1999:46,intcal20,2120,-62.5815,17.1573,0,0,DiNapoli et al 2020,-
74,Antigua,Antigua and Barbuda,Lesser Antilles,northern Lesser Antilles,-61.7896002,17.07479419,Indian Creek,�,unknown,2 (C3-3),I-7983,1110,80,�,Rouse and Morse 1999:46,intcal20,2120,-62.5815,17.1573,0,0,DiNapoli et al 2020,-
75,Antigua,Antigua and Barbuda,Lesser Antilles,northern Lesser Antilles,-61.7896002,17.07479419,Indian Creek,�,unknown,2 (C3-5),I-7984,1124,80,�,Rouse and Morse 1999:46,intcal20,2120,-62.5815,17.1573,0,0,DiNapoli et al 2020,-
76,Antigua,Antigua and Barbuda,Lesser Antilles,northern Lesser Antilles,-61.7896002,17.07479419,Indian Creek,�,unknown,2 (C4-2),I-7843,645,80,�,Davis 1988; Rouse and Morse 1999:46,intcal20,2120,-62.5815,17.1573,0,0,DiNapoli et al 2020,-
77,Antigua,Antigua and Barbuda,Lesser Antilles,northern Lesser Antilles,-61.7896002,17.07479419,Indian Creek,�,unknown,2 (C4-3),I-7831,785,80,�,Rouse and Morse 1999:46,intcal20,2120,-62.5815,17.1573,0,0,DiNapoli et al 2020,-
78,Antigua,Antigua and Barbuda,Lesser Antilles,northern Lesser Antilles,-61.7896002,17.07479419,Indian Creek,�,unknown,3 (E4-2),I-7832,855,80,�,Rouse and Morse 1999:46,intcal20,2120,-62.5815,17.1573,0,0,DiNapoli et al 2020,-
79,Antigua,Antigua and Barbuda,Lesser Antilles,northern Lesser Antilles,-61.7896002,17.07479419,Indian Creek,�,unknown,4 (G1-2),I-7845,1020,80,�,Rouse and Morse 1999:46,intcal20,2120,-62.5815,17.1573,0,0,DiNapoli et al 2020,-
80,Antigua,Antigua and Barbuda,Lesser Antilles,northern Lesser Antilles,-61.7896002,17.07479419,Indian Creek,�,unknown,4 (G2-4),I-7846,1140,80,�,Rouse and Morse 1999:46,intcal20,2120,-62.5815,17.1573,0,0,DiNapoli et al 2020,-
81,Antigua,Antigua and Barbuda,Lesser Antilles,northern Lesser Antilles,-61.7896002,17.07479419,Indian Creek,�,unknown,4 (G3-5),I-7834,1265,80,�,Rouse and Morse 1999:46,intcal20,2120,-62.5815,17.1573,0,0,DiNapoli et al 2020,-
82,Antigua,Antigua and Barbuda,Lesser Antilles,northern Lesser Antilles,-61.7896002,17.07479419,Indian Creek,�,unknown,4 (G4-3),I-7833,1895,80,�,Rouse and Morse 1999:46,intcal20,2120,-62.5815,17.1573,0,0,DiNapoli et al 2020,-
83,Antigua,Antigua and Barbuda,Lesser Antilles,northern Lesser Antilles,-61.7896002,17.07479419,Indian Creek,�,unknown,5 (I1-2),I-7835,845,80,�,Rouse and Morse 1999:46,intcal20,2120,-62.5815,17.1573,0,0,DiNapoli et al 2020,-
84,Antigua,Antigua and Barbuda,Lesser Antilles,northern Lesser Antilles,-61.7896002,17.07479419,Indian Creek,�,unknown,5 (I1-3),I-7847,900,90,�,Rouse and Morse 1999:46,intcal20,2120,-62.5815,17.1573,0,0,DiNapoli et al 2020,-
85,Antigua,Antigua and Barbuda,Lesser Antilles,northern Lesser Antilles,-61.7896002,17.07479419,Mill Reef,�,unknown,�,O-JG2-3,1225,105,�,Davis 1988,intcal20,2120,-62.5815,17.1573,0,0,DiNapoli et al 2020,-
86,Antigua,Antigua and Barbuda,Lesser Antilles,northern Lesser Antilles,-61.7896002,17.07479419,Mill Reef,�,unknown,�,Y-692,2243,70,�,Davis 1988,intcal20,2120,-62.5815,17.1573,0,0,DiNapoli et al 2020,-
87,Antigua,Antigua and Barbuda,Lesser Antilles,northern Lesser Antilles,-61.7896002,17.07479419,Muddy Bay (PH-14),�,unknown,Unit 1 (28 cm),Beta-74426,720,60,�,Healy and Murphy 1995:287-299;,intcal20,2120,-62.5815,17.1573,0,0,DiNapoli et al 2020,-
88,Antigua,Antigua and Barbuda,Lesser Antilles,northern Lesser Antilles,-61.7896002,17.07479419,Muddy Bay (PH-14),�,unknown,Unit 1 (49 cm),Beta-74427,735,70,�,Healy and Murphy 1995:287-299;,intcal20,2120,-62.5815,17.1573,0,0,DiNapoli et al 2020,-
89,Antigua,Antigua and Barbuda,Lesser Antilles,northern Lesser Antilles,-61.7896002,17.07479419,Muddy Bay (PH-14),�,unknown,Unit 2 (28 cm),Beta-74428,930,60,�,Healy and Murphy 1995:287-299;,intcal20,2120,-62.5815,17.1573,0,0,DiNapoli et al 2020,-
90,Antigua,Antigua and Barbuda,Lesser Antilles,northern Lesser Antilles,-61.7896002,17.07479419,Muddy Bay (PH-14),�,unknown,Unit 2 (42 cm),Beta-74429,710,60,�,Healy and Murphy 1995:287-299;,intcal20,2120,-62.5815,17.1573,0,0,DiNapoli et al 2020,-
94,Antigua,Antigua and Barbuda,Lesser Antilles,northern Lesser Antilles,-61.7896002,17.07479419,Nonsuch Bay,carbonized wood,charcoal/charred material,NS07-2-349 cm,AA-82746,190,40,-25.2,Jones et al. 2018a,intcal20,2120,-62.5815,17.1573,0,0,DiNapoli et al 2020,-
95,Antigua,Antigua and Barbuda,Lesser Antilles,northern Lesser Antilles,-61.7896002,17.07479419,Nonsuch Bay,organic sediment,sediment,NS07-2-398 cm,AA-82475,250,35,-26.3,Jones et al. 2018a,intcal20,2120,-62.5815,17.1573,0,0,DiNapoli et al 2020,-
96,Antigua,Antigua and Barbuda,Lesser Antilles,northern Lesser Antilles,-61.7896002,17.07479419,Nonsuch Bay,organic sediment,sediment,NS07-2-445 cm,AA-77643,580,35,-26.5,Jones et al. 2018a,intcal20,2120,-62.5815,17.1573,0,0,DiNapoli et al 2020,-
97,Antigua,Antigua and Barbuda,Lesser Antilles,northern Lesser Antilles,-61.7896002,17.07479419,Nonsuch Bay,preserved wood,wood,NS07-2-221 cm,AA-77644,110,30,-28.2,Jones et al. 2018a,intcal20,2120,-62.5815,17.1573,0,0,DiNapoli et al 2020,-
99,Antigua,Antigua and Barbuda,Lesser Antilles,northern Lesser Antilles,-61.7896002,17.07479419,Royall's,charcoal,charcoal/charred material,Unit 4-Level 8 (70�80 cmbs),Beta-124126,1600,50,�,Healy et al. 2001:232,intcal20,2120,-62.5815,17.1573,0,0,DiNapoli et al 2020,-
100,Antigua,Antigua and Barbuda,Lesser Antilles,northern Lesser Antilles,-61.7896002,17.07479419,Royall's,charcoal,charcoal/charred material,Unit 4-Level 9-80�90 cmbs,Beta-124127,1610,80,�,Healy et al. 2001:232,intcal20,2120,-62.5815,17.1573,0,0,DiNapoli et al 2020,-
103,Antigua,Antigua and Barbuda,Lesser Antilles,northern Lesser Antilles,-61.7896002,17.07479419,Winthorpe's East (GE-1),�,unknown,�,Beta-127865,710,50,�,Murphy 1999:207,intcal20,2120,-62.5815,17.1573,0,0,DiNapoli et al 2020,-
104,Antigua,Antigua and Barbuda,Lesser Antilles,northern Lesser Antilles,-61.7896002,17.07479419,Winthorpe's West (GE-6),charred material,charcoal/charred material,Unit 4-Level 3-54 cm,Beta-101499,720,50,�,de Mille-Murphy-and Healy 1999:105-121,intcal20,2120,-62.5815,17.1573,0,0,DiNapoli et al 2020,-
105,Antigua,Antigua and Barbuda,Lesser Antilles,northern Lesser Antilles,-61.7896002,17.07479419,Winthorpe's West (GE-6),charred material,charcoal/charred material,Unit 4-Level 7-140 cm,Beta-101500,1430,50,�,de Mille-Murphy-and Healy 1999:105-121 ,intcal20,2120,-62.5815,17.1573,0,0,DiNapoli et al 2020,-
106,Antigua,Antigua and Barbuda,Lesser Antilles,northern Lesser Antilles,-61.7896002,17.07479419,Winthorpe's West (GE-6),�,unknown,�,Beta-127864,760,50,�,Murphy 1999:207,intcal20,2120,-62.5815,17.1573,0,0,DiNapoli et al 2020,-
108,Antigua ,Antigua and Barbuda ,Lesser Antilles,northern Lesser Antilles,-61.7896002,17.07479419,Indian Creek ,-,unknown ,5 (I1-4),I-7354,1100,85,-,Rouse and Morse 1999:46,intcal20,2120,-62.5815,17.1573,0,0,DiNapoli et al 2020,-
109,Antigua ,Antigua and Barbuda ,Lesser Antilles,northern Lesser Antilles,-61.7896002,17.07479419,Indian Creek ,-,unknown ,5(I2-4),I-7357,1080,85,-,Rouse and Morse 1999:46,intcal20,2120,-62.5815,17.1573,0,0,DiNapoli et al 2020,-
110,Antigua ,Antigua and Barbuda ,Lesser Antilles,northern Lesser Antilles,-61.7896002,17.07479419,Indian Creek ,-,unknown , 6 (P3-2) ,I-7836 ,1070,80,-,Rouse and Morse 1999:46,intcal20,2120,-62.5815,17.1573,0,0,DiNapoli et al 2020,-
111,Antigua ,Antigua and Barbuda ,Lesser Antilles,northern Lesser Antilles,-61.7896002,17.07479419,Indian Creek ,charcoal ,charcoal/charred material ,1 (A1-3) ,I-7830 ,2785,80,-,Rouse and Morse 1999:46,intcal20,2120,-62.5815,17.1573,0,0,DiNapoli et al 2020,-
112,Antigua ,Antigua and Barbuda ,Lesser Antilles,northern Lesser Antilles,-61.7896002,17.07479419,Indian Creek ,charcoal ,charcoal/charred material ,1 (A2-3) ,I-7842 ,2785,80,-,Rouse and Morse 1999:46,intcal20,2120,-62.5815,17.1573,0,0,DiNapoli et al 2020,-
113,Antigua ,Antigua and Barbuda ,Lesser Antilles,northern Lesser Antilles,-61.7896002,17.07479419,Indian Creek ,charcoal ,charcoal/charred material ,1 (A3-2) ,I-7979 ,1790,85,-,Rouse and Morse 1999:46,intcal20,2120,-62.5815,17.1573,0,0,DiNapoli et al 2020,-
114,Antigua ,Antigua and Barbuda ,Lesser Antilles,northern Lesser Antilles,-61.7896002,17.07479419,Indian Creek ,charcoal ,charcoal/charred material ,1 (A4-2) ,I-7980 ,1915,80,-,Rouse and Morse 1999:46,intcal20,2120,-62.5815,17.1573,0,0,DiNapoli et al 2020,-
115,Antigua ,Antigua and Barbuda ,Lesser Antilles,northern Lesser Antilles,-61.7896002,17.07479419,Indian Creek ,charcoal ,charcoal/charred material ,1 (A4-3) ,I-7981 ,1855,80,-,Rouse and Morse 1999:46,intcal20,2120,-62.5815,17.1573,0,0,DiNapoli et al 2020,-
116,Antigua ,Antigua and Barbuda ,Lesser Antilles,northern Lesser Antilles,-61.7896002,17.07479419,Indian Creek ,charcoal ,charcoal/charred material ,5 (I1-5) ,I-7353 ,1230,85,-,Rouse and Morse 1999:46,intcal20,2120,-62.5815,17.1573,0,0,DiNapoli et al 2020,-
